tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-death-comments,animal-exact-date-of-birth,animal-latest-date-born,animal-life-stage,animal-mass,animal-sex,animal-taxon-detail,attachment-type,deploy-off-person,deploy-on-person,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,duty-cycle,manipulation-type,study-site,tag-comments,tag-manufacturer-name,tag-model,tag-processing-type,tag-production-date,tag-readout-method
1398,Espanola,Chelonoidis hoodensis,2010-09-30 00:00:00.000,2012-04-18 00:00:00.000,saddleback:carapace length 65.5 cm,,,,adult,,f,,glue,,,critterccammed but didnt work,,,1398-Espanola,hourly from 6:00-19:00 local time,none,Isla Espanola,,e-obs GmbH,custom GPS logger,,,other-wireless
1406,Miriam,Chelonoidis hoodensis,2010-09-30 00:00:00.000,2013-02-22 00:00:00.000,saddleback:carapace length 87.3 cm,,,,adult,,f,,glue,,,,tag dropped off and was recuperated,fall-off,1406-Miriam,hourly from 6:00-19:00 local time,none,Isla Espanola,,e-obs GmbH,custom GPS logger,,,other-wireless
1735,Sebastian,Chelonoidis porteri,2011-07-22 00:00:00.000,2015-01-08 00:00:00.000,domed:carapace length 142 cm,,,1900-01-01 00:00:00.000,adult,,m,,glue,,,,,,1735-Sebastian,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
2190,Sir David,Chelonoidis porteri,2012-06-04 00:00:00.000,2015-12-01 00:00:00.000,domed:carapace length 145 cm,,,,adult,,m,,glue,,,,tagged during the making of 3D Galapagos; tag fell off,fall-off,2190-Sir David,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
1387,Walter,Chelonoidis hoodensis,2013-02-22 20:00:00.000,2020-06-15 00:00:00.000,saddleback:carapace length NA,,,,adult,,m,,glue,,Freddy Cabrera,,,,1387-Walter,hourly from 6:00-19:00 local time,none,Isla Espanola,,e-obs GmbH,custom GPS logger,,,other-wireless
1385,Chrissie,Chelonoidis porteri,2013-07-07 00:00:00.000,,domed:carapace length 95.5 cm,,,,adult,,f,,glue,,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1385-Chrissie,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
1406,Lucy,Chelonoidis porteri,2013-07-09 00:00:00.000,,domed:carapace length 97.5 cm,,,,adult,,f,,glue,,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1406-Lucy,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
1378,Yvonne,Chelonoidis porteri,2013-07-09 18:00:00.000,,domed:carapace length 89 cm,,,,adult,,f,,glue,,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1378-Yvonne,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
1407,Veronica,Chelonoidis porteri,2013-07-09 20:00:00.000,2016-02-10 00:00:00.000,domed:carapace length 98 cm,,,,adult,,f,,glue,,,2009-2016 data used for analysis in Bastille-Rousseau et al. (2019),,,1407-Veronica,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3159,Sharon,Chelonoidis porteri,2013-07-11 00:00:00.000,,domed: carapace length 90.5 cm,,,,adult,,f,,glue,,,,,,3159-Sharon,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
1398,Lola,Chelonoidis porteri,2013-07-11 20:00:00.000,2013-11-26 18:00:00.000,domed: carapace length 105 cm,,,,adult,,f,,glue,,,,"weak battery, reason unknown",equipment-failure,1398-Lola,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3147,Pilar,Chelonoidis porteri,2013-07-15 00:00:00.000,,domed: carapace length 62.5 cm,,,,sub-adult,, ,,glue,,,,,,3147-Pilar,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3136,Jamie,Chelonoidis porteri,2013-07-17 00:00:00.000,,domed: carapace length 57 cm,,,,juvenile,, ,,glue,,,,,,3136-Jamie,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
3141,Inoho,Chelonoidis porteri,2013-07-17 00:00:00.000,,domed: carapace length 70 cm,,,,adult,,f,,glue,,,,,,3141-Inoho,hourly from 6:00-19:00 local time,none,Isla Santa Cruz west (La Reserva),,e-obs GmbH,custom GPS logger,,,other-wireless
